Date,Temperature,Humidity,Precipitation,RainfallDays,SickPatients
2010-01-31,23.765189784065562,60.44755356962833,195.62890258939595,8,710.0
2010-02-28,29.328459342118123,67.84378594159625,257.2796537549263,22,695.0
2010-03-31,24.74824513510888,90.85378770491107,146.19837841091925,10,787.0
2010-04-30,22.231677552934404,71.80574017689234,290.1539075894184,6,130.0
2010-05-31,26.874458818394082,61.61130112325004,198.1409701908467,24,182.0
2010-06-30,20.622211664609132,86.22832709834651,195.54852939077745,11,930.0
2010-07-31,33.37429290558243,80.34803112781188,257.98134449405643,7,366.0
2010-08-31,32.69671080464187,86.52440878733546,157.099158006749,13,172.0
2010-09-30,34.92556930961179,65.43550666087883,52.14661077234973,16,478.0
2010-10-31,31.03503597137243,67.70304361670145,65.5826140202944,13,304.0
2010-11-30,,80.12812823457628,58.517764454307766,9,956.0
2010-12-31,,67.45943681669333,260.4156355645828,5,651.0
2011-01-31,23.31378699300864,77.40886598200042,96.43823443302949,24,468.0
2011-02-28,30.013521840869682,84.07428809206135,199.30107714081697,12,530.0
2011-03-31,20.608419215654596,93.27359098676146,177.00071102066718,16,218.0
2011-04-30,34.42766522395732,92.38497251056934,261.4306259477245,11,788.0
2011-05-31,26.113362441498083,84.50578207021857,73.44045717014326,7,728.0
2011-06-30,27.684712381614307,85.5216716877789,192.41010767702528,9,385.0
2011-07-31,24.202006169166864,88.39685267107225,299.8713320597367,5,621.0
2011-08-31,26.465106189290438,94.09566657936921,82.65077237036878,19,586.0
2011-09-30,20.330062196126068,,238.51818669440385,21,839.0
2011-10-31,28.236376998637255,79.16934183057337,273.18338767589194,24,421.0
2011-11-30,33.084086106620575,83.83646417866468,145.15766674638598,17,385.0
2011-12-31,33.17110748338351,77.96797212660512,62.37881210884714,6,993.0
2012-01-31,30.132700752647995,60.77794002230939,152.71825506758756,7,390.0
2012-02-29,23.741768114761886,93.99880708183335,81.79514564133515,16,574.0
2012-03-31,34.706643018929995,87.53207132119232,196.22262567600637,20,746.0
2012-04-30,30.44624080477105,79.31519048444883,75.42359929957559,8,558.0
2012-05-31,26.065934104461924,81.49711029045518,163.77686987185626,13,770.0
2012-06-30,25.711265400421293,86.33966794222076,212.9923860082759,24,314.0
2012-07-31,30.806967740713578,77.92486420075313,151.8156053923753,22,
2012-08-31,27.46831829407136,62.65442502683582,245.99364702353523,10,
2012-09-30,27.96141702357172,91.45143468875057,209.6716548803047,19,698.0
2012-10-31,32.09829936176905,87.69902400758494,158.92216455599112,9,903.0
2012-11-30,25.744634540399066,69.22137207915935,70.97874864684925,12,988.0
2012-12-31,26.91899209372224,68.7540221804802,138.3699057437219,11,288.0
2013-01-31,26.99279670466202,85.24066125250961,212.74167245682116,13,365.0
2013-02-28,30.149292005838397,67.34169075854041,219.61617609849935,19,160.0
2013-03-31,22.449393123938343,74.05508114418342,246.25058263028419,21,646.0
2013-04-30,31.151613693562247,81.66273809842002,157.8193337854632,22,451.0
2013-05-31,33.28782421383881,73.53217712470837,141.8325015178509,8,394.0
2013-06-30,33.323536632110645,82.63466841758127,234.8859880606837,19,239.0
2013-07-31,34.16388400721926,70.96258815200984,118.96139760830633,13,484.0
2013-08-31,31.193113603038324,90.00653258404941,227.20772476374614,16,287.0
2013-09-30,25.776184570653086,83.38921544164663,135.56383432122863,13,905.0
2013-10-31,26.832328339613102,74.29395030317781,151.80630610613883,13,387.0
2013-11-30,29.97504313405637,91.63509881468943,133.32317636692858,6,296.0
2013-12-31,33.33564143449574,92.64576721795413,82.67859538506846,20,640.0
2014-01-31,20.724873294827457,61.1487885731058,74.09866714954897,22,861.0
2014-02-28,25.323276234187396,84.37825595065505,207.46915483239954,24,219.0
2014-03-31,28.33936831266464,79.80261898832008,194.63413009430815,8,707.0
2014-04-30,32.82635230057426,60.13560999721194,192.5203805833242,9,403.0
2014-05-31,21.63242863777596,92.10789577089372,90.6473425526242,6,859.0
2014-06-30,26.924621931130815,72.57751076235317,72.5882367809227,13,604.0
2014-07-31,34.4009460063498,87.00554051230469,177.2054855721395,21,554.0
2014-08-31,25.298138994373495,63.25969135184853,266.49759495145133,15,619.0
2014-09-30,28.9032502093391,72.86660628234118,55.963464029116295,23,582.0
2014-10-31,31.29161033804737,77.03089742212183,226.72330670086322,14,645.0
2014-11-30,23.638661107669293,92.24635833191999,126.59282627694184,23,586.0
2014-12-31,32.38110754800965,93.16342182868726,81.9437770299086,11,911.0
